Epoch	Accuracy	Loss	Val Accuracy	Val Loss
1	0.2150000035762787	2.5474648475646973	0.36500000953674316	1.7151812314987183
2	0.3075000047683716	1.9326382875442505	0.7699999809265137	0.5465888381004333
3	0.42750000953674316	1.5854084491729736	0.7850000262260437	0.5529544353485107
4	0.5199999809265137	1.2597057819366455	0.7850000262260437	0.5383158326148987
5	0.5325000286102295	1.1531805992126465	0.9049999713897705	0.2319333404302597
6	0.5849999785423279	1.0190635919570923	0.8600000143051147	0.39135316014289856
7	0.6175000071525574	0.9058213829994202	0.8799999952316284	0.2645452916622162
8	0.6549999713897705	0.8886682987213135	0.8849999904632568	0.3365061283111572
9	0.6675000190734863	0.875664234161377	0.8899999856948853	0.2469089925289154
10	0.7149999737739563	0.7343205213546753	0.8949999809265137	0.27969351410865784
11	0.699999988079071	0.7298181056976318	0.8999999761581421	0.26642611622810364
12	0.7300000190734863	0.678809404373169	0.8849999904632568	0.31921622157096863
13	0.7225000262260437	0.6603413224220276	0.8999999761581421	0.30571675300598145
14	0.7325000166893005	0.667022705078125	0.9100000262260437	0.2190747857093811
15	0.8025000095367432	0.5799769759178162	0.8949999809265137	0.3111763596534729
16	0.7574999928474426	0.6316506862640381	0.9049999713897705	0.22225622832775116
17	0.7674999833106995	0.5592297911643982	0.9100000262260437	0.22959654033184052
18	0.8475000262260437	0.4345203638076782	0.9399999976158142	0.12717846035957336
19	0.8100000023841858	0.500770628452301	0.925000011920929	0.1572721302509308
20	0.8424999713897705	0.44889676570892334	0.949999988079071	0.11697722226381302
21	0.8199999928474426	0.4900164306163788	0.9100000262260437	0.19812196493148804
22	0.824999988079071	0.47061944007873535	0.9300000071525574	0.1631932109594345
23	0.8149999976158142	0.4696626365184784	0.9399999976158142	0.15106087923049927
24	0.8500000238418579	0.41640526056289673	0.9200000166893005	0.1539282649755478
25	0.8374999761581421	0.4203647971153259	0.9200000166893005	0.16729295253753662
