Epoch	Accuracy	Loss	Val Accuracy	Val Loss
1	0.7978125214576721	1.173828125	0.9194999933242798	0.5392168760299683
2	0.8881250023841858	0.33518487215042114	0.9150000214576721	0.740592360496521
3	0.901562511920929	0.2886548936367035	0.9620000123977661	0.24010784924030304
4	0.9221875071525574	0.23923718929290771	0.9304999709129333	0.4880557656288147
5	0.9181249737739563	0.22871758043766022	0.9509999752044678	0.3881356716156006
6	0.9231250286102295	0.22509363293647766	0.9409999847412109	0.3280293345451355
7	0.9275000095367432	0.1941933035850525	0.968500018119812	0.18368124961853027
8	0.9334375262260437	0.19327472150325775	0.9670000076293945	0.17762185633182526
9	0.934374988079071	0.185883030295372	0.9455000162124634	0.2924966514110565
10	0.9424999952316284	0.16834519803524017	0.9495000243186951	0.2677101194858551
11	0.9356250166893005	0.1768793910741806	0.9649999737739563	0.20098137855529785
12	0.940625011920929	0.1718253195285797	0.9459999799728394	0.4702177047729492
13	0.9481250047683716	0.1669732630252838	0.9754999876022339	0.14746664464473724
14	0.9465625286102295	0.153079092502594	0.9580000042915344	0.3663039803504944
15	0.9449999928474426	0.1507665514945984	0.9664999842643738	0.26662561297416687
16	0.9437500238418579	0.15581633150577545	0.9704999923706055	0.2154754102230072
17	0.9468749761581421	0.1422598510980606	0.9614999890327454	0.30577564239501953
18	0.9506250023841858	0.13493987917900085	0.9514999985694885	0.4031601548194885
19	0.9403125047683716	0.1712632030248642	0.9629999995231628	0.3028544783592224
20	0.9490625262260437	0.1362893283367157	0.9729999899864197	0.18587447702884674
21	0.9553124904632568	0.1345624178647995	0.972000002861023	0.1791662573814392
22	0.9543750286102295	0.13302379846572876	0.9729999899864197	0.2104308009147644
23	0.9584375023841858	0.12088281661272049	0.9729999899864197	0.22091594338417053
24	0.9540625214576721	0.14255496859550476	0.9725000262260437	0.24157747626304626
25	0.9571874737739563	0.12729261815547943	0.9725000262260437	0.2529437839984894
